"colostrum","milky fluid secreted for the first day or two after parturition"
"Lhasa","the sacred city of Lamaism; known as the Forbidden City for its former inaccessibility and hostility to strangers"
"Lassa","the sacred city of Lamaism; known as the Forbidden City for its former inaccessibility and hostility to strangers"
"Indonesia","a republic in southeastern Asia on an archipelago including more than 13,000 islands; achieved independence from the Netherlands in 1945; the principal oil producer in the Far East and Pacific regions"
"Java","an island in Indonesia south of Borneo; one of the world''s most densely populated regions"
"Bali","an island in Indonesia east of Java; striking volcanic scenery; culture is known for elaborate dances and rituals and for handicrafts"
"Timor","an island in Indonesia in the Malay Archipelago; the largest and most eastern of the Lesser Sunda Islands"
"Sumatra","a mountainous island in western Indonesia"
"Celebes","a mountainous island in eastern Indonesia"
"Sulawesi","a mountainous island in eastern Indonesia"
"Moluccas","a group of island in eastern Indonesia between Celebes and New Guinea; settled by the Portuguese but taken by the Dutch who made them the center for a spice monopoly, at which time they were known as Spice Islands"
"Kalimantan","the part of Indonesia on the southern side of the island of Borneo"
"Jakarta","capital and largest city of Indonesia; located on the island of Java; founded by the Dutch in 17th century"
"Djakarta","capital and largest city of Indonesia; located on the island of Java; founded by the Dutch in 17th century"
"Bandung","a city in Indonesia; located on western Java (southeast of Jakarta); a resort known for its climate"
"Medan","a city in Indonesia; located in northeastern Sumatra"
"Semarang","a port city is southern Indonesia; located in northern Java"
"Samarang","a port city is southern Indonesia; located in northern Java"
"Iran","a theocratic islamic republic in the Middle East in western Asia; Iran was the core of the ancient empire that was known as Persia until 1935; rich in oil; involved in state-sponsored terrorism"
"Persia","a theocratic islamic republic in the Middle East in western Asia; Iran was the core of the ancient empire that was known as Persia until 1935; rich in oil; involved in state-sponsored terrorism"
"Teheran","the capital and largest city of Iran; located in northern Iran"
"Tehran","the capital and largest city of Iran; located in northern Iran"
"Abadan","a port city in southwestern Iran"
"Mashhad","the holy city of Shiite Muslims; located in northeastern Iran"
"Meshed","the holy city of Shiite Muslims; located in northeastern Iran"
"Isfahan","city in central Iran; former capital of Persia"
"Esfahan","city in central Iran; former capital of Persia"
"Aspadana","city in central Iran; former capital of Persia"
"Rasht","city in northwestern Iran near the Caspian Sea"
"Resht","city in northwestern Iran near the Caspian Sea"
"Shiraz","a city in central southwestern Iran; ruins of ancient Persepolis are nearby"
"Tabriz","an ancient city in northwestern Iran; known for hot springs"
"Qum","a city in northwestern Iran; a place of pilgrimage for Shiite Muslims"
"Persia","an empire in southern Asia created by Cyrus the Great in the 6th century BC and destroyed by Alexander the Great in the 4th century BC"
"Persepolis","an ancient city that was the capital of the ancient Persian Empire; now in ruins"
"Elam","an ancient country in southwestern Asia east of the Tigris River (in what is modern Iran); was known for its warlike people"
"Susiana","an ancient country in southwestern Asia east of the Tigris River (in what is modern Iran); was known for its warlike people"
"Iraq","a republic in the Middle East in western Asia; the ancient civilization of Mesopotamia was in the area now known as Iraq; modern government is involved in state-sponsored terrorism"
"Irak","a republic in the Middle East in western Asia; the ancient civilization of Mesopotamia was in the area now known as Iraq; modern government is involved in state-sponsored terrorism"
"Baghdad","capital and largest city of Iraq; located on the Tigris River; ""Baghdad is one of the great cities of the Muslim world"""
"Bagdad","capital and largest city of Iraq; located on the Tigris River; ""Baghdad is one of the great cities of the Muslim world"""
"Basra","the second largest city in Iraq; an oil port in southern Iraq"
"Basia","the second largest city in Iraq; an oil port in southern Iraq"
"Kerbala","a city of central Iraq south of Baghdad; a holy city for Shiite Muslims because it is the site of the tomb of Mohammed''s grandson who was killed there in 680"
"Karbala","a city of central Iraq south of Baghdad; a holy city for Shiite Muslims because it is the site of the tomb of Mohammed''s grandson who was killed there in 680"
"Kerbela","a city of central Iraq south of Baghdad; a holy city for Shiite Muslims because it is the site of the tomb of Mohammed''s grandson who was killed there in 680"
"Kirkuk","a city in northeastern Iraq; the center of a rich oilfield with pipelines to the Mediterranean"
"Mosul","a city in northern Iraq on the Tigris across from the ruins of Nineveh"
"Levant","the former name for the geographical area of the eastern Mediterranean that is now occupied by Lebanon and Syria and Israel"
"Macedon","the ancient kingdom of Philip II and Alexander the Great in the southeastern Balkans that is now divided among modern Macedonia and Greece and Bulgaria"
"Macedonia","the ancient kingdom of Philip II and Alexander the Great in the southeastern Balkans that is now divided among modern Macedonia and Greece and Bulgaria"
"Makedonija","the ancient kingdom of Philip II and Alexander the Great in the southeastern Balkans that is now divided among modern Macedonia and Greece and Bulgaria"
"Philippi","a city in ancient Macedonia that was important in early Christianity"
"Thrace","a region and ancient country and wine producing region in the east of the Balkan Peninsula north of the Aegean Sea; colonized by ancient Greeks; later a Roman province; now divided between Bulgaria and Greece and Turkey"
"Edirne","a city in northwestern Turkey; a Thracian town that was rebuilt and renamed by the Roman emperor Hadrian"
"Adrianople","a city in northwestern Turkey; a Thracian town that was rebuilt and renamed by the Roman emperor Hadrian"
"Adrianopolis","a city in northwestern Turkey; a Thracian town that was rebuilt and renamed by the Roman emperor Hadrian"
"Mesopotamia","the land between the Tigris and Euphrates; site of several ancient civilizations; part of what is now known as Iraq"
"Babylon","the chief city of ancient Mesopotamia and capitol of the ancient kingdom of Babylonia"
"Babylonia","an ancient kingdom in southern Mesopotamia; Babylonia conquered Israel in the 6th century BC and exiled the Jews to Babylon (where the Daniel became a counselor to the king)"
"Chaldaea","an ancient kingdom in southern Mesopotamia; Babylonia conquered Israel in the 6th century BC and exiled the Jews to Babylon (where the Daniel became a counselor to the king)"
"Chaldea","an ancient kingdom in southern Mesopotamia; Babylonia conquered Israel in the 6th century BC and exiled the Jews to Babylon (where the Daniel became a counselor to the king)"
"Chaldea","an ancient region of Mesopotamia lying between the Euphrates delta and the Persian Gulf and the Arabian Desert; settled in 1000 BC and destroyed by the Persians in 539 BC; reached the height of its power under Nebuchadnezzar II"
"Chaldaea","an ancient region of Mesopotamia lying between the Euphrates delta and the Persian Gulf and the Arabian Desert; settled in 1000 BC and destroyed by the Persians in 539 BC; reached the height of its power under Nebuchadnezzar II"
"Sumer","an area in the southern region of Babylonia in present-day Iraq; site of the Sumerian civilization of city-states that flowered during the third millennium BC"
"Assyria","an ancient kingdom in northern Mesopotamia which is in present-day Iraq"
"Assur","an ancient Assyrian city on the Tigris and traditional capital of Assyria; just south of the modern city of Mosul in Iraq"
"Asur","an ancient Assyrian city on the Tigris and traditional capital of Assyria; just south of the modern city of Mosul in Iraq"
"Ashur","an ancient Assyrian city on the Tigris and traditional capital of Assyria; just south of the modern city of Mosul in Iraq"
"Nineveh","an ancient Assyrian city on the Tigris across from the modern city of Mosul in the northern part of what is now known as Iraq"
"Phoenicia","an ancient maritime country (a collection of city states) at eastern end of the Mediterranean"
"Phenicia","an ancient maritime country (a collection of city states) at eastern end of the Mediterranean"
"Carthage","an ancient city state on the north African coast near modern Tunis; founded by Phoenicians; destroyed and rebuilt by Romans; razed by Arabs in 697"
"Utica","an ancient city on the north coast of Africa (northwest of Carthage); destroyed by Arabs around 700 AD"
"Japan","a string of more than 3,000 islands east of Asia extending 1,300 miles between the Sea of Japan and the western Pacific Ocean"
"Hokkaido","the second largest of the four main islands of Japan; north of Honshu"
"Ezo","the second largest of the four main islands of Japan; north of Honshu"
"Yezo","the second largest of the four main islands of Japan; north of Honshu"
"Honshu","the central and largest of the four main islands of Japan; between the Sea of Japan and the Pacific Ocean; regarded as the Japanese mainland"
"Hondo","the central and largest of the four main islands of Japan; between the Sea of Japan and the Pacific Ocean; regarded as the Japanese mainland"
"Kyushu","the southernmost of the four main islands of Japan; contains coal fields"
"Shikoku","the smallest of the four main islands of Japan; south of Honshu and east of Kyushu; separated from Honshu by the Inland Sea; forested and mountainous"
"Japan","a constitutional monarchy occupying the Japanese Archipelago; a world leader in electronics and automobile manufacture and ship building"
"Nippon","a constitutional monarchy occupying the Japanese Archipelago; a world leader in electronics and automobile manufacture and ship building"
"Nihon","a constitutional monarchy occupying the Japanese Archipelago; a world leader in electronics and automobile manufacture and ship building"
"Asahikawa","a city on western Hokkaido that is the center of a fertile agricultural area"
"Tokyo","the capital and largest city of Japan; the economic and cultural center of Japan"
"Tokio","the capital and largest city of Japan; the economic and cultural center of Japan"
"Yeddo","the capital and largest city of Japan; the economic and cultural center of Japan"
"Yedo","the capital and largest city of Japan; the economic and cultural center of Japan"
"Edo","the capital and largest city of Japan; the economic and cultural center of Japan"
"Nagano","a city in central Honshu northwest of Tokyo; site of a Buddhist shrine"
"Nagoya","an industrial city in southern Honshu"
"Omiya","a city of east central Honshu; a suburb of Tokyo"
"Osaka","port city on southern Honshu on Osaka Bay; a commercial and industrial center of Japan"
"Yokohama","port city on southeastern Honshu in central Japan"
"Okinawa","the largest island of the central Ryukyu Islands"
"Kyoto","a city in central Japan on southern Honshu; a famous cultural center that was once the capital of Japan"
"Hiroshima","a port city on the southwestern coast of Honshu in Japan; on August 6, 1945 Hiroshima was almost completely destroyed by the first atomic bomb dropped on a populated area"
"Sapporo","a commercial city in northern Japan on western Hokkaido"
"Kitakyushu","a Japanese city on northern Kyushu"
"Fukuoka","a city in southern Japan on Kyushu"
"Nagasaki","a city in southern Japan on Kyushu; a leading port and shipbuilding center; on August 9, 1945 Nagasaki became the second populated area to receive an atomic bomb"
"Asama","a volcano in central Honshu near Nagano; one of the largest volcanoes in Japan (8,340 feet)"
"Jordan","an Arab kingdom in southwestern Asia on the Red Sea"
"Amman","the capital and largest city of Jordan"
"Aqaba","Jordan''s port; located in southwestern Jordan on the Gulf of Aqaba"
"Akaba","Jordan''s port; located in southwestern Jordan on the Gulf of Aqaba"
"Jericho","a village in Jordan near the north end of the Dead Sea; in the Old Testament it was the first place taken by the Israelites under Joshua as the entered the Promised Land"
"Zarqa","city in northwestern Jordan"
"Kenya","a republic in eastern Africa; achieved independence from the United Kingdom in 1963; major archeological discoveries have been made in the Great Rift Valley in Kenya"
"Nairobi","the capital and largest city of Kenya; a center for tourist safaris"
"Kisumu","a port city in western Kenya on the northeastern shore of Lake Victoria; fishing and trading center"
"Mombasa","a port city in southern Kenya on a coral island in a bay of the Indian Ocean"
"Nakuru","a city in western Kenya; commercial center of an agricultural region"
"Kuwait","an Arab kingdom in Asia on the northwestern coast of the Persian Gulf; a major source of petroleum"
"Koweit","an Arab kingdom in Asia on the northwestern coast of the Persian Gulf; a major source of petroleum"
"Kuwait","a seaport on the Persian Gulf and capital of Kuwait"
"Koweit","a seaport on the Persian Gulf and capital of Kuwait"
"Gaul","an ancient region of western Europe that included what is now northern Italy and France and Belgium and part of Germany and the Netherlands"
"Gallia","an ancient region of western Europe that included what is now northern Italy and France and Belgium and part of Germany and the Netherlands"
"France","a republic in western Europe; the largest country wholly in Europe"
"Paris","the capital and largest city of France; and international center of culture and commerce"
"Montmartre","the highest point in Paris; famous for its associations with many artists"
"Clichy","a northwestern suburb of Paris; the residence of the Merovingian royalty in the 7th century"
"Orly","a southeastern suburb of Paris; site of an international airport serving Paris"
"Bordeaux","a port city in southwestern France; a major center of the wine trade"
"Brest","a port city in northwestern France (in Brittany); the chief naval station of France"
"Calais","a town in northern France on the Strait of Dover that serves as a ferry port to England; in 1347 it was captured by the English king Edward III after a long siege and remained in English hands until it was recaptured by the French king Henry II in 1558"
"Cannes","a port and resort city on the French Riviera; site of an annual film festival"
"Chablis","a town in north central France noted for white Burgundy wines"
"Cherbourg","a port town in northwestern France on the English Channel; site of a naval base"
"Dijon","an industrial city in eastern France north of Lyons"
"Grenoble","a city in southeastern France on the Isere River"
"Lille","an industrial city in northern France near the Belgian border; was the medieval capital of Flanders"
"Lyon","a city in east-central France on the Rhone River; a principal producer of silk and rayon"
"Lyons","a city in east-central France on the Rhone River; a principal producer of silk and rayon"
"Marseille","a port city in southeastern France on the Mediterranean"
"Marseilles","a port city in southeastern France on the Mediterranean"
"Nancy","a city in northeastern France in Lorraine"
"Nantes","a port city in western France on the Loire estuary"
"Nice","a city in southeastern France on the Mediterranean; the leading resort on the French Riviera"
"Orleans","a city on the Loire river in north central France; site of the siege of Orleans by the English (1428-1429)"
"Rheims","a city in northeastern France east of Paris; scene of the coronation of most French kings; site of the unconditional German surrender in 1945 at the end of World War II"
"Reims","a city in northeastern France east of Paris; scene of the coronation of most French kings; site of the unconditional German surrender in 1945 at the end of World War II"
"Strasbourg","city on the Rhine in eastern France near the German border; an inland port"
"Strassburg","city on the Rhine in eastern France near the German border; an inland port"
"Toulouse","a city on the Garonne River in southern France southeast of Bordeaux; a cultural center of medieval Europe"
"Versailles","a city in north central France near Paris; site of the Palace of Versailles that was built by Louis XIV in the 17th century"
"Vichy","a town in central France (south of Paris) noted for hot mineral springs; was capital of the unoccupied part of France during World War II"
"Riviera","a coastal area between La Spezia in Italy and Cannes in France; ""the Riviera contains some of Europe''s most popular resorts"""
"Alsace","a region of northeastern France famous for its wines"
"Alsatia","a region of northeastern France famous for its wines"
"Elsass","a region of northeastern France famous for its wines"
"Anjou","a former province of western France in the Loire valley"
"Aquitaine","a region of southwestern France between Bordeaux and the Pyrenees"
"Aquitania","a region of southwestern France between Bordeaux and the Pyrenees"
"Artois","a former province of northern France near the English Channel (between Picardy and Flanders)"
"Auvergne","a region in central France"
"Bourgogne","a former province of eastern France that is famous for its wines"
"Burgundy","a former province of eastern France that is famous for its wines"
"Bretagne","a former province of northwestern France on a peninsula between the English Channel and the Bay of Biscay"
"Brittany","a former province of northwestern France on a peninsula between the English Channel and the Bay of Biscay"
"Breiz","a former province of northwestern France on a peninsula between the English Channel and the Bay of Biscay"
"Centre","a low-lying region in central France"
"Champagne","a region of northeastern France"
"Ardennes","a wooded plateau in the Champagne-Ardenne region of France; the site of intense fighting in World War I and World War II"
"Corse","a region of France on the island of Corsica; birthplace of Napoleon Bonaparte"
"Corsica","a region of France on the island of Corsica; birthplace of Napoleon Bonaparte"
"Corse","an island in the Mediterranean; with adjacent islets it constitutes a region of France"
"Corsica","an island in the Mediterranean; with adjacent islets it constitutes a region of France"
"Gascogne","a region of southwestern France"
"Gascony","a region of southwestern France"
"Limousin","a region of central France west of the Auvergne mountains"
"Lorraine","an eastern French region rich in iron-ore deposits"
"Lothringen","an eastern French region rich in iron-ore deposits"
"Martinique","an island in the eastern Caribbean in the Windward Islands; administered as an overseas region of France"
"Mayenne","a department of northwestern France in the Pays de la Loire region"
"Midi","the south of France"
"Picardie","a region of northern France on the English Channel"
"Picardy","a region of northern France on the English Channel"
"Poitou","a low-lying region of west central France on the Bay of Biscay"
"Normandie","a former province of northwestern France on the English channel; divided into Haute-Normandie and Basse-Normandie"
"Normandy","a former province of northwestern France on the English channel; divided into Haute-Normandie and Basse-Normandie"
"Orleanais","a former province of north central France; centered around Orleans"
"Provence","a former province of southeastern France; now administered with Cote d''Azur"
"Lyonnais","a former province of east central France; now administered by Rhone-Alpes"
"Gabon","a republic on the west coast of Africa"
"Gabun","a republic on the west coast of Africa"
"Libreville","the capital of Gabon"
"Gambia","a narrow republic surrounded by Senegal in West Africa"
"Banjul","a port city and capital of Gambia"
"Ghana","a republic in West Africa on the Gulf of Guinea; ""Ghana was colonized as the Gold Coast by the British"""
"Accra","the capital and largest city of Ghana with a deep-water port"
"Grenada","an island state in the West Indies in the southeastern Caribbean Sea; an independent state within the British Commonwealth"
"Guinea","a republic in eastern Africa on the Atlantic; formerly a French colony; achieved independence from France in 1958"
"Conakry","a port and the capital of Guinea"
"Konakri","a port and the capital of Guinea"
"Bissau","the capital of Guinea-Bissau"
"Guiana","a geographical region of northeastern South America including Guyana and Surinam"
"Guyana","a republic in northeastern South America; achieved independence from England in 1966"
"Georgetown","port city and the capital and largest city of Guyana; ""the city was called Stabroek by the Dutch but was renamed Georgetown by the British in 1812"""
"Stabroek","port city and the capital and largest city of Guyana; ""the city was called Stabroek by the Dutch but was renamed Georgetown by the British in 1812"""
"Demerara","a former Dutch colony in South America; now a part of Guyana"
"Netherlands","a constitutional monarchy in western Europe on the North Sea; achieved independence from Spain in 1579; half the country lies below sea level"
"Holland","a constitutional monarchy in western Europe on the North Sea; achieved independence from Spain in 1579; half the country lies below sea level"
"Amsterdam","an industrial center and the nominal capital of the Netherlands; center of the diamond-cutting industry; seat of an important stock exchange; known for its canals and art museum"
"Apeldoorn","a city of east central Netherlands; a popular tourist center and site of the summer residence of the Dutch royal family"
"Arnhem","a city in the central Netherlands on the lower Rhine River; site of a battle in 1944 during World War II"
"Eindhoven","city in southeastern Netherlands noted for electrical industry"
"Nijmegen","an industrial city in the eastern Netherlands"
"Rotterdam","the 2nd largest city in the Netherlands; located in the western Netherlands near the North Sea"
"Leiden","a city in the western Netherlands; residence of the Pilgrim Fathers for 11 years before they sailed for America in 1620"
"Leyden","a city in the western Netherlands; residence of the Pilgrim Fathers for 11 years before they sailed for America in 1620"
"Utrecht","a city in the central Netherlands"
"Friesland","one of the northernmost provinces of the Netherlands"
"Friesland","the western part of the ancient region of Frisia in northern Europe on the North Sea between the Scheldt river and the Weser river; part of this region is now a province in the Netherlands"
"Frisia","an ancient region of northwestern Europe including the Frisian Islands"
"Hungary","a republic in central Europe"
"Magyarorszag","a republic in central Europe"
"Budapest","capital and largest city of Hungary; located on the Danube River in north-central Hungary"
"Faroes","a group of 21 volcanic islands in the North Atlantic between Iceland and the Shetland Islands"
"Faeroes","a group of 21 volcanic islands in the North Atlantic between Iceland and the Shetland Islands"
"Faroes","a self-governing colony that is a possession of Denmark in the Faroe Islands"
"Faeroes","a self-governing colony that is a possession of Denmark in the Faroe Islands"
"Thorshavn","the administrative center of the Faroe Islands"
"Iceland","a volcanic island in the North Atlantic near the Arctic Circle"
"Iceland","an island republic on the island of Iceland; became independent of Denmark in 1944"
"Reykjavik","the capital and chief port of Iceland on the southwestern coast of Iceland; buildings are heated by natural hot water"
"Shetland","an archipelago of about 100 islands in the North Atlantic off the north coast of Scotland"
"Zetland","an archipelago of about 100 islands in the North Atlantic off the north coast of Scotland"
"Thule","the geographical region believed by ancient geographers to be the northernmost land in the inhabited world"
"Thule","a town in northwestern Greenland; during World War II a United States naval base was built there"
"Korea","an Asian peninsula (off Manchuria) separating the Yellow Sea and the Sea of Japan; the Korean name is Choson"
"Choson","an Asian peninsula (off Manchuria) separating the Yellow Sea and the Sea of Japan; the Korean name is Choson"
"Chosen","the name for Korea as a Japanese province (1910-1945)"
"D.P.R.K.","a communist country in the northern half of the Korean Peninsula; established in 1948; involved in state-sponsored terrorism"
"DPRK","a communist country in the northern half of the Korean Peninsula; established in 1948; involved in state-sponsored terrorism"
"Pyongyang","capital of North Korea and an industrial center; ""Pyongyang is Korea''s oldest city but little of its history has been preserved"""
"Seoul","the capital and largest city of South Korea; located in northwestern South Korea"
"Inchon","a port city in western South Korea on the Yellow Sea"
"Incheon","a port city in western South Korea on the Yellow Sea"
"Chemulpo","a port city in western South Korea on the Yellow Sea"
"Kwangju","city in southwestern South Korea; an important military base during the Korean War"
"Taegu","a city in southeastern South Korea"
"Tegu","a city in southeastern South Korea"
"Pusan","a city in southeastern South Korea on the Korean Strait; the chief port and second largest city"
"Laos","a mountainous landlocked communist state in southeastern Asia; achieved independence from France in 1949"
"Vientiane","the capital and largest city of Laos"
"Lappland","a region in northmost Europe inhabited by Lapps"
"Lapland","a region in northmost Europe inhabited by Lapps"
"Lebanon","an Asian republic at east end of Mediterranean"
"Beirut","capital and largest city of Lebanon; located in western Lebanon on the Mediterranean"
"Tripoli","a port city and commerical center in northwestern Lebanon on the Mediterranean Sea"
"Trablous","a port city and commerical center in northwestern Lebanon on the Mediterranean Sea"
"Saida","the main city of ancient Phoenicia"
"Sidon","the main city of ancient Phoenicia"
"Sur","a port in southern Lebanon on the Mediterranean Sea; formerly a major Phoenician seaport famous for silks"
"Tyre","a port in southern Lebanon on the Mediterranean Sea; formerly a major Phoenician seaport famous for silks"
"Byblos","an ancient Mediterranean seaport that was a thriving city state in Phoenicia during the second millenium BC; was the chief port for the export of papyrus; located in Lebanon north of Beirut; now partially excavated"
"Lesotho","a landlocked constitutional monarchy in southern Africa; achieved independence from the United Kingdom in 1966"
"Basutoland","a landlocked constitutional monarchy in southern Africa; achieved independence from the United Kingdom in 1966"
"Maseru","the capital of Lesotho; located in northwestern Lesotho"
"Liberia","a republic in West Africa; established in 1822 by Americans as a way to free negro slaves"
"Monrovia","the capital and chief port and largest city of Liberia"
"Libya","a military dictatorship in northern Africa on the Mediterranean; consists almost entirely of desert; a major exporter of petroleum; involved in state-sponsored terrorism"
"Tripoli","the capital and chief port and largest city of Libya; in northwestern Libya on the Mediterranean Sea; founded by the Phoenicians in the 7th century BC"
"Benghazi","port in northern Libya on the Gulf of Sidra; formerly a joint capital of Libya with Tripoli"
"Liechtenstein","a small landlocked principality (constitutional monarchy) in central Europe located in the Alps between Austria and Switzerland"
"Vaduz","the capital and largest city of Liechtenstein"
"Luxembourg","a grand duchy (a constitutional monarchy) landlocked in northwestern Europe between France and Belgium and Germany; an international financial center"
"Luxemburg","a grand duchy (a constitutional monarchy) landlocked in northwestern Europe between France and Belgium and Germany; an international financial center"
"Luxembourg","the capital and largest city of Luxembourg"
"Luxemburg","the capital and largest city of Luxembourg"
"Macedonia","landlocked republic on the Balkan Peninsula; achieved independence from Yugoslavia in 1991"
"Skopje","capital of modern Macedonia"
"Skoplje","capital of modern Macedonia"
"Uskub","capital of modern Macedonia"
"Madagascar","an island in the Indian Ocean off the southeastern coast of Africa; the 4th largest island in the world"
"Madagascar","a republic on the island of Madagascar; achieved independence from France in 1960"
"Antananarivo","the capital and largest city of Madagascar"
"Malawi","a landlocked republic in southern central Africa; achieved independence from the United Kingdom in 1964"
"Nyasaland","a landlocked republic in southern central Africa; achieved independence from the United Kingdom in 1964"
"Blantyre","city in southern Malawi; largest city and commercial center of Malawi"
"Lilongwe","the capital of Malawi; located in south central Malawi"
"Zomba","a city in southern Malawi; was the capital until 1971"
"Malaysia","a constitutional monarchy in southeastern Asia on Borneo and the Malay Peninsula; achieved independence from the United Kingdom in 1957"
"Malaya","a constitutional monarchy in southeastern Asia on Borneo and the Malay Peninsula; achieved independence from the United Kingdom in 1957"
"Sabah","a region of Malaysia in northeastern Borneo"
"Sarawak","a region of Malaysia on northwestern Borneo"
"Maldives","a group of about 1,200 small coral islands (about 220 inhabited) in the Indian ocean"
"Maldives","a republic on the Maldive Islands; achieved independence from the United Kingdom in 1965"
"Male","the capital of Maldives in the center of the islands"
"Mali","a landlocked republic in northwestern Africa; achieved independence from France in 1960; Mali was a center of West African civilization for more than 4,000 years"
"Bamako","the capital of Mali; located in the south on the Niger"
"Timbuktu","a city in central Mali near the Niger river; formerly famous for its gold trade"
"Malta","a strategically located island south of Sicily in the Mediterranean Sea"
"Malta","a republic on the island of Malta in the Mediterranean; achieved independence from the United Kingdom in 1964"
"Valletta","the capital of Malta; located on the northeastern coast of the island"
"Valetta","the capital of Malta; located on the northeastern coast of the island"
"Mauritania","a country in northwestern Africa with a provisional military government; achieved independence from France in 1960; largely western Sahara Desert"
"Mauritanie","a country in northwestern Africa with a provisional military government; achieved independence from France in 1960; largely western Sahara Desert"
"Muritaniya","a country in northwestern Africa with a provisional military government; achieved independence from France in 1960; largely western Sahara Desert"
"Nouakchott","capital of Mauritania; located in western Mauritania near the Atlantic coast"
"Mauritius","an island in the southwestern Indian Ocean"
"Mauritius","a parliamentary state on the island of Mauritius"
"Monaco","a constitutional monarchy in a tiny enclave on the French Riviera"
"Tartary","the vast geographical region of Europe and Asia that was controlled by the Mongols in the 13th and 14th centuries; ""under Ghengis Khan Tartary extended as far east as the Pacific Ocean"""
"Tatary","the vast geographical region of Europe and Asia that was controlled by the Mongols in the 13th and 14th centuries; ""under Ghengis Khan Tartary extended as far east as the Pacific Ocean"""
"Mongolia","a vast region in Asia including the Mongolian People''s Republic and China''s Inner Mongolia"
"Mongolia","a landlocked socialist republic in central Asia"
"Ulaanbaatar","the capital and largest city of Mongolia"
"Urga","the capital and largest city of Mongolia"
"Kulun","the capital and largest city of Mongolia"
"Morocco","a kingdom (constitutional monarchy) in northwestern Africa with a largely Muslim population; achieved independence from France in 1956"
"Maroc","a kingdom (constitutional monarchy) in northwestern Africa with a largely Muslim population; achieved independence from France in 1956"
"Marruecos","a kingdom (constitutional monarchy) in northwestern Africa with a largely Muslim population; achieved independence from France in 1956"
"Casablanca","a port on the Atlantic and the largest city of Morocco"
"Fez","a city in north central Morocco; religious center"
"Fes","a city in north central Morocco; religious center"
"Marrakesh","a city in western Morocco; tourist center"
"Marrakech","a city in western Morocco; tourist center"
"Oujda","a city in northeastern Morocco near the Algerian border"
"Rabat","the capital of Morocco; located in the northwestern on the Atlantic coast"
"Tangier","a city of northern Morocco at the west end of the Strait of Gibraltar; ""the first tangerines were shipped from Tangier to Europe in 1841"""
"Tangiers","a city of northern Morocco at the west end of the Strait of Gibraltar; ""the first tangerines were shipped from Tangier to Europe in 1841"""
"Mozambique","a republic on the eastern coast of Africa on the Mozambique Channel; became independent from Portugal in 1975"
"Mocambique","a republic on the eastern coast of Africa on the Mozambique Channel; became independent from Portugal in 1975"
"Beira","a port city in eastern Mozambique on the Mozambique Channel"
"Maputo","the capital and largest city of Mozambique"
"Natal","a region of eastern South Africa on the Indian Ocean"
"Auckland","the largest city and principal port of New Zealand"
"Christchurch","industrial city at the center of a rich agricultural region"
"Wellington","the capital of New Zealand"
"Niger","a landlocked republic in West Africa; gained independence from France in 1960; most of the country is dominated by the Sahara Desert"
"Niamey","the capital and largest city of Niger"
"Nigeria","a republic in West Africa on the Gulf of Guinea; gained independence from Britain in 1960; most populous African country"
"Abuja","capital of Nigeria in the center of the country"
"Ibadan","a large Yoruba city in southwestern Nigeria; site of a university"
"Katsina","a city in northern Nigeria; a major center of the Hausa people"
"Lagos","chief port and economic center of Nigeria; located in southwestern Nigeria on the Gulf of Guinea; former capital of Nigeria"
"Maiduguri","a city in northeastern Nigeria; an agricultural trading center"
"Zaria","a city in north central Nigeria; agricultural trading center"
"Oman","a strategically located monarchy on the southern and eastern coasts of the Arabian Peninsula; the economy is dominated by oil"
"Muscat","a port on the Gulf of Oman and capital of the sultanate of Oman"
"Masqat","a port on the Gulf of Oman and capital of the sultanate of Oman"
"Kashmir","an area in southwestern Asia whose sovereignty is disputed between Pakistan and India"
"Cashmere","an area in southwestern Asia whose sovereignty is disputed between Pakistan and India"
"Pakistan","a Muslim republic that occupies the heartland of ancient south Asian civilization in the Indus River valley; formerly part of India; achieved independence from the United Kingdom in 1947"
"Faisalabad","city in northeast Pakistan"
"Lyallpur","city in northeast Pakistan"
"Hyderabad","a city in southern Pakistan on the Indus River"
"Islamabad","the capital of Pakistan in the north on a plateau; the site was chosen in 1959"
"Karachi","the largest city in Pakistan; located in southeastern Pakistan; an industrial center and seaport on the Arabian Sea; former capital of Pakistan"
"Lahore","city in northeast Pakistan"
"Peshawar","city in northern Pakistan at the eastern end of the Khyber Pass"
"Rawalpindi","an ancient city in northeastern Pakistan; served as capitol of Pakistan while Islamabad was being built"
"Palau","a chain of more than 200 islands about 400 miles long in the western central Pacific Ocean"
"Belau","a chain of more than 200 islands about 400 miles long in the western central Pacific Ocean"
"Pelew","a chain of more than 200 islands about 400 miles long in the western central Pacific Ocean"
"Palau","a republic in the western central Pacific Ocean in association with the United States"
"Paraguay","a landlocked republic in south central South America; achieved independence from Spain in 1811"
"Asuncion","the capital and chief port of Paraguay"
"Parthia","an ancient country in Asia on the Caspian Sea; dominated southwestern Asia from about 100 BC to 200 AD"
"Peru","a republic in western South America; achieved independence from Spain in 1821; was the heart of the Inca empire from the 12th to 16th centuries"
"Arequipa","a city in southern Peru founded in 1540 on the site of an ancient Inca city"
"Cuzco","a town in the Andes in southern Peru; formerly the capital of the Inca empire"
"Cusco","a town in the Andes in southern Peru; formerly the capital of the Inca empire"
"Lima","capital and largest city and economic center of Peru; located in western Peru; was capital of the Spanish empire in the New World until the 19th century"
