"venial","warranting only temporal punishment; ""venial sin"""
"neatly","with neatness; ""she put the slippers under the bed neatly"""
"lightly","to a slight degree; ""her speech is only lightly accented"""
"lightly","with little weight or force; ""she kissed him lightly on the forehead"""
"softly","with little weight or force; ""she kissed him lightly on the forehead"""
"gently","with little weight or force; ""she kissed him lightly on the forehead"""
"successively","in proper order or sequence; ""talked to each child in turn""; ""the stable became in turn a chapel and then a movie theater"""
"independently","on your own; without outside help; ""the children worked on the project independently"""
"apart","not taken into account or excluded from consideration; ""these problems apart, the country is doing well""; ""all joking aside, I think you''re crazy"""
"aside","not taken into account or excluded from consideration; ""these problems apart, the country is doing well""; ""all joking aside, I think you''re crazy"""
"apart","into parts or pieces; ""he took his father''s watch apart""; ""split apart""; ""torn asunder"""
"asunder","into parts or pieces; ""he took his father''s watch apart""; ""split apart""; ""torn asunder"""
"apart","separated or at a distance in place or position or time; ""These towns are many miles apart""; ""stood with his legs apart""; ""born two years apart"""
"apart","one from the other; ""people can''t tell the twins apart"""
"once","as soon as; ""once we are home, we can rest"""
"when","as soon as; ""once we are home, we can rest"""
"PRN","according to need (physicians use PRN in writing prescriptions); ""add water as needed"""
"gently","in a gradual manner; ""a gently sloping terrain"""
"overseas","in a place across an ocean"
"abroad","in a place across an ocean"
"vigorously","with vigor; in a vigorous manner; ""he defended his ideas vigorously"""
"smartly","with vigor; in a vigorous manner; ""he defended his ideas vigorously"""
"distinctly","clear to the mind; with distinct mental discernment; ""it''s distinctly possible""; ""I could clearly see myself in his situation"""
"clearly","clear to the mind; with distinct mental discernment; ""it''s distinctly possible""; ""I could clearly see myself in his situation"""
"positively","extremely; ""it was positively monumental"""
"magnificently","in a splendid manner; ""he did splendidly in the exam""; ""we got along famously"""
"splendidly","in a splendid manner; ""he did splendidly in the exam""; ""we got along famously"""
"famously","in a splendid manner; ""he did splendidly in the exam""; ""we got along famously"""
"excellently","in an excellent manner; ""the job had been done excellently"""
"healthily","in a levelheaded manner; ""the answers were healthily individual"""
"hilariously","in a hilarious manner; ""hilariously funny"""
"uproariously","in a hilarious manner; ""hilariously funny"""
"considerately","in a considerate manner; ""they considerately withdrew"""
"wonderfully","(used as an intensifier) extremely well; ""her voice is superbly disciplined""; ""the colors changed wondrously slowly"""
"wondrous","(used as an intensifier) extremely well; ""her voice is superbly disciplined""; ""the colors changed wondrously slowly"""
"wondrously","(used as an intensifier) extremely well; ""her voice is superbly disciplined""; ""the colors changed wondrously slowly"""
"superbly","(used as an intensifier) extremely well; ""her voice is superbly disciplined""; ""the colors changed wondrously slowly"""
"toppingly","(used as an intensifier) extremely well; ""her voice is superbly disciplined""; ""the colors changed wondrously slowly"""
"marvellously","(used as an intensifier) extremely well; ""her voice is superbly disciplined""; ""the colors changed wondrously slowly"""
"terrifically","(used as an intensifier) extremely well; ""her voice is superbly disciplined""; ""the colors changed wondrously slowly"""
"marvelously","(used as an intensifier) extremely well; ""her voice is superbly disciplined""; ""the colors changed wondrously slowly"""
"gratifyingly","in a gratifying manner; ""the performance was at a gratifyingly high level"""
"satisfyingly","in a gratifying manner; ""the performance was at a gratifyingly high level"""
"impeccably","flawlessly; ""the film was impeccably authentic"""
"blandly","in a bland manner; ""his blandly incompetent attempts"""
"gravely","in a grave and sober manner; ""he walked soberly toward the altar"""
"soberly","in a grave and sober manner; ""he walked soberly toward the altar"""
"staidly","in a grave and sober manner; ""he walked soberly toward the altar"""
"helpfully","in a helpful manner; ""the subtitles are helpfully conveyed"""
"unhelpfully","in an unhelpful manner; ""he stood by unhelpfully while the house burned down"""
"true","as acknowledged; ""true, she is the smartest in her class"""
"admittedly","as acknowledged; ""true, she is the smartest in her class"""
"avowedly","as acknowledged; ""true, she is the smartest in her class"""
"confessedly","as acknowledged; ""true, she is the smartest in her class"""
"rationally","in a rational manner; ""we must act rationally"""
"irrationally","in an irrational manner; ""they acted irrationally"""
"critically","in a critical manner; ""this must be examined critically"""
"uncritically","in an uncritical manner; ""he accepted her decisions uncritically"""
"boldly","in a bold manner; ""we must tackle these tasks boldly"""
"competently","in a competent capable manner; ""they worked competently"""
"aptly","in a competent capable manner; ""they worked competently"""
"ably","in a competent capable manner; ""they worked competently"""
"capably","in a competent capable manner; ""they worked competently"""
"incompetently","in an incompetent manner; ""he did the job rather incompetently"""
"emotionally","with regard to emotions; ""emotionally secure"""
"emotionally","in an emotional manner; ""at the funeral he spoke emotionally"""
"unemotionally","in an unemotional manner; ""the defendant stared unemotionally at the victim''s family"""
"anxiously","with anxiety or apprehension; ""we watched anxiously"""
"uneasily","with anxiety or apprehension; ""we watched anxiously"""
"stiffly","in a stiff manner; ""his hands lay stiffly"""
"stiff","in a stiff manner; ""his hands lay stiffly"""
"informally","without formality; ""he visited us informally"""
"formally","in a formal manner; ""he was dressed rather formally"""
"formally","with official authorization; ""the club will be formally recognized"""
"officially","with official authorization; ""the club will be formally recognized"""
"irritably","in an irritable manner; ""she had become irritably exact"""
"calmly","with self-possession (especially in times of stress); ""he spoke calmly to the rioting students"""
"tranquilly","without emotional agitation; ""tranquilly she went on with her work"""
"nicely","in a nice way; ""a nicely painted house"""
"cozily","in a cozy manner; ""nestled cozily by the fire"""
"cosily","in a cozy manner; ""nestled cozily by the fire"""
"studiously","in a studious manner; ""she examined the data studiously"""
"cleverly","in a clever manner; ""they were cleverly arranged""; ""a smartly managed business"""
"smartly","in a clever manner; ""they were cleverly arranged""; ""a smartly managed business"""
"lavishly","in a rich and lavish manner; ""lavishly decorated"""
"richly","in a rich and lavish manner; ""lavishly decorated"""
"extravagantly","in a rich and lavish manner; ""lavishly decorated"""
"uptown","toward or in the upper part of town"
"downtown","toward or in the lower or central part of town"
"best","it would be sensible; ""you''d best stay at home"""
"best","in a most excellent way or manner; ""he played best after a couple of martinis"""
"out","outside of an enclosed space; ""she is out"""
"out","outward from a reference point; ""he kicked his legs out"""
"theatrically","in a theatrical manner; ""theatrically dressed"""
"dramatically","with respect to dramatic value; ""the play was dramatically interesting, but the direction was bad"""
"namely","as follows"
"viz.","as follows"
"videlicet","as follows"
"popularly","among the people; ""this topic was popularly discussed"""
"professedly","with pretense or intention to deceive; ""is only professedly poor"""
"someday","some unspecified time in the future; ""someday you will understand my actions"""
"exaggeratedly","in an exaggerated manner"
"agilely","in a nimble or agile manner; with quickness and lightness and ease; ""nimbly scaling an iron gate""- Charles Dickens; ""leaped agilely from roof to roof"""
"nimbly","in a nimble or agile manner; with quickness and lightness and ease; ""nimbly scaling an iron gate""- Charles Dickens; ""leaped agilely from roof to roof"""
"proudly","in a proud manner; ""he walked proudly into town"""
"solemnly","in a grave and sedate manner; ""the judge sat there solemnly"""
"divinely","by divine means; ""the divinely appointed means of rescue from temporal existence"""
"clumsily","in a clumsy manner; ""he snatched the bills clumsily"""
"diffusely","in a diffuse manner; ""the arteries were diffusely narrowed"""
"irregularly","in an irregular manner; ""the stomach mucosa was irregularly blackened"""
"coarsely","in coarse pieces; ""the surfaces were coarsely granular"""
"finely","in tiny pieces; ""the surfaces were finely granular"""
"intensely","in an intense manner; ""he worked intensely"""
"cf.","compare (used in texts to point the reader to another location in the text)"
"confer","compare (used in texts to point the reader to another location in the text)"
"see","compare (used in texts to point the reader to another location in the text)"
"i.e.","that is to say; in other words"
"continuously","at every point; ""The function is continuously differentiable"""
"reflexly","in a reflex manner; ""such effects can be induced reflexly"""
"spontaneously","in a spontaneous manner; ""this shift occurs spontaneously"""
"convincingly","in a convincing manner; ""he argued convincingly"""
"weirdly","in a weird manner; ""she was dressed weirdly"""
"mercifully","in a manner that may be cruel but avoids suffering; ""we more mercifully had our bouncing betties go off at the head"""
"mercifully","in a compassionate manner; ""he dealt with the thief mercifully"""
"stealthily","in a stealthy manner; ""stealthily they advanced upstream"""
"thievishly","in a manner characteristic of a thief"
"off","no longer on or in contact or attached; ""clean off the dirt""; ""he shaved off his mustache"""
"snugly","fitting closely; ""the vest fit snugly"""
"snugly","safely protected; ""concealed snugly in his hideout"""
"snugly","warmly and comfortably sheltered; ""sittly snugly by the fireside while the storm raged"""
"visibly","so as to be visible; ""the sign was visibly displayed"""
"conceivably","within the realm of possibility; ""the weather may conceivably change"""
"strikingly","in a striking manner; ""this was strikingly demonstrated""; ""the evidence was strikingly absent"""
"meticulously","in a meticulous manner; ""the set was meticulously authentic"""
"graciously","in a gracious or graceful manner; ""he did not have a chance to grow up graciously"""
"gracefully","in a gracious or graceful manner; ""he did not have a chance to grow up graciously"""
"ungraciously","without grace; rigidly; ""they moved woodenly"""
"ungracefully","without grace; rigidly; ""they moved woodenly"""
"gracelessly","without grace; rigidly; ""they moved woodenly"""
"woodenly","without grace; rigidly; ""they moved woodenly"""
"rigidly","in a rigid manner; ""the body was rigidly erect""; ""ge sat bolt upright"""
"stiffly","in a rigid manner; ""the body was rigidly erect""; ""ge sat bolt upright"""
"bolt","in a rigid manner; ""the body was rigidly erect""; ""ge sat bolt upright"""
"awkwardly","in an awkward manner; ""he bent awkwardly"""
"bewilderedly","in a bewildered manner"
"triumphantly","in a triumphant manner; ""she shouted triumphantly"""
"regularly","in a regular manner; ""letters arrived regularly from his children"""
"irregularly","in an irregular manner; ""her letters arrived irregularly"""
"universally","everywhere; ""people universally agree on this"""
"ideally","in an ideal manner; ""ideally, this will remove all problems"""
"mistakenly","in a mistaken manner; ""he mistakenly believed it"""
"erroneously","in a mistaken manner; ""he mistakenly believed it"""
"childishly","in a child-like manner; ""he acted very childishly"""
"needlessly","without need; ""it would needlessly bring badness into the world"""
"tantalizingly","in a tantalizing manner; ""she smiled at him tantalizingly"""
"invitingly","in a tantalizing manner; ""she smiled at him tantalizingly"""
"improperly","in an improper way; ""he checked whether the wound had healed improperly"""
"properly","in the right manner; ""please do your job properly!""; ""can''t you carry me decent?"""
"decently","in the right manner; ""please do your job properly!""; ""can''t you carry me decent?"""
"decent","in the right manner; ""please do your job properly!""; ""can''t you carry me decent?"""
"right","in the right manner; ""please do your job properly!""; ""can''t you carry me decent?"""
"attentively","in an attentive manner; ""he listened attentively"""
"enormously","extremely; ""he was enormously popular"""
"tremendously","extremely; ""he was enormously popular"""
"hugely","extremely; ""he was enormously popular"""
"staggeringly","extremely; ""he was enormously popular"""
"liberally","in a generous manner; ""he gave liberally to several charities"""
"munificently","in a generous manner; ""he gave liberally to several charities"""
"generously","in a generous manner; ""he gave liberally to several charities"""
"liberally","freely in a nonliteral manner; ""he embellished his stories liberally"""
"effortlessly","without effort or apparent effort; ""she danced gracefully and effortlessly""; ""swallows gliding effortlessly through the air"""
"o'clock","according to the clock; ""it''s three o''clock in Tokyo now"""
"handily","in a convenient manner; ""the switch was conveniently located"""
"conveniently","in a convenient manner; ""the switch was conveniently located"""
"jointly","in collaboration or cooperation; ""this paper was written jointly"""
"exceedingly","to an extreme degree or extent; ""his eyesight was exceedingly defective"""
"passing","to an extreme degree or extent; ""his eyesight was exceedingly defective"""
"extremely","to an extreme degree or extent; ""his eyesight was exceedingly defective"""
"concretely","in concrete terms; ""concretely, this meant that he was broke"""
"abstractly","in abstract terms"
"tactually","by touch; ""he perceives shapes tactually"""
"haptically","by touch; ""he perceives shapes tactually"""
"convulsively","in a convulsive way; ""her leg twitched convulsively"""
"rebelliously","in a rebellious manner; ""he rejected her words rebelliously"""
"defiantly","in a rebellious manner; ""he rejected her words rebelliously"""
"stubbornly","in a stubborn unregenerate manner; ""she remained stubbornly in the same position"""
"obdurately","in a stubborn unregenerate manner; ""she remained stubbornly in the same position"""
"mulishly","in a stubborn unregenerate manner; ""she remained stubbornly in the same position"""
"obstinately","in a stubborn unregenerate manner; ""she remained stubbornly in the same position"""
"cussedly","in a stubborn unregenerate manner; ""she remained stubbornly in the same position"""
"wrongheadedly","in a wrongheaded manner"
"drunkenly","showing effects of much strong drink; ""He sang drunkenly"""
"raucously","with a raucous sound; ""his voice rang raucously"""
"victoriously","in a victorious manner; ""Virginia had defended her land victoriously"""
"fearfully","in fear, ""she hurried down the stairs fearfully"""
"fearlessly","without fear; ""fearlessly, he led the troops into combat"""
"dauntlessly","without fear; ""fearlessly, he led the troops into combat"""
"intrepidly","without fear; ""fearlessly, he led the troops into combat"""
"thankfully","for which you are thankful; ""thankfully he didn''t come to the party"""
"hopefully","it is hoped; ""hopefully the weather will be fine on Sunday"""
"hopefully","with hope; in a hopeful manner; ""we searched hopefully for a good position"""
"hopelessly","without hope; desperate because there seems no possibility of comfort or success; ""he hung his head hopelessly""; ""`I must die,'' he said hopelessly"""
"hopelessly","in a hopeless manner; ""the papers were hopelessly jumbled""; ""he is hopelessly romantic"""
"eagerly","with eagerness; in an eager manner; ""the news was eagerly awaited"""
"thirstily","with eagerness; in an eager manner; ""the news was eagerly awaited"""
"reportedly","according to reports or other information; ""she was reportedly his mistress for many years"""
"maliciously","with malice; in a malicious manner; ""she answered maliciously"""
"viciously","in a vicious manner; ""he was viciously attacked"""
"brutally","in a vicious manner; ""he was viciously attacked"""
"savagely","in a vicious manner; ""he was viciously attacked"""
"spitefully","in a spiteful manner; ""he answered his accusers spitefully"""
"savagely","wildly; like an animal; ""she cried out savagely"""
"wisely","in a wise manner; ""she acted wisely when she invited her parents"""
"sagely","in a wise manner; ""she acted wisely when she invited her parents"""
"foolishly","without good sense or judgment; ""He acted foolishly when he agreed to come"""
"unwisely","without good sense or judgment; ""He acted foolishly when he agreed to come"""
"fatuously","vacuously or complacently and unconsciously foolish"
"inanely","vacuously or complacently and unconsciously foolish"
"intelligently","in an intelligent manner; ""she acted intelligently in this difficult situation"""
"intelligibly","in an intelligible manner; ""the foreigner spoke to us quite intelligibly"""
"clearly","in an intelligible manner; ""the foreigner spoke to us quite intelligibly"""
"aerially","in an aerial manner; by means of aircraft; ""the survey was carried out aerially"""
"stoutly","in a resolute manner; ""he was stoutly replying to his critics"""
"indefinitely","to an indefinite extent; for an indefinite time; ""this could go on indefinitely"""
"correctly","in a correct manner; ""he guessed right"""
"right","in a correct manner; ""he guessed right"""
"aright","in a correct manner; ""he guessed right"""
"incorrectly","in an incorrect manner; ""she guessed wrong"""
"wrongly","in an incorrect manner; ""she guessed wrong"""
"wrong","in an incorrect manner; ""she guessed wrong"""
"inaccessibly","in an inaccessible manner; ""located inaccessibly on the top of a mountain"""
"accurately","with few mistakes; ""he works very accurately"""
"inaccurately","in an inaccurate manner; ""this student works rather inaccurately and sloppily"""
"accurately","strictly correctly; ""repeated the order accurately"""
"wrongly","without justice or fairness; ""wouldst not play false and yet would wrongly win""- Shakespeare"
"right","precisely, exactly; ""stand right here!"""
"right","completely; ""she felt right at home""; ""he fell right into the trap"""
"justly","in accordance with moral or social standards; ""that serves him right""; ""do right by him"""
"right","in accordance with moral or social standards; ""that serves him right""; ""do right by him"""
"rightly","with honesty; ""he was rightly considered the greatest singer of his time"""
"justly","with honesty; ""he was rightly considered the greatest singer of his time"""
"justifiedly","with honesty; ""he was rightly considered the greatest singer of his time"""
"unjustly","in an unjust manner; ""he was unjustly singled out for punishment"""
"charitably","in a charitable manner; ""she treated him charitably"""
"aimlessly","in an aimless manner; ""he wandered around aimlessly"""
"sluggishly","in a sluggish manner; ""the smoke rose sluggishly"""
"trustfully","in a trustful manner; ""his mouth grinned trustfully"""
"darkly","without light; ""the river was sliding darkly under the mist"""
"darkly","in a dark glowering menacing manner; ""he stared darkly at her"""
"astray","away from the right path or direction; ""he was led astray"""
"hurriedly","in a hurried or hasty manner; ""the way they buried him so hurriedly was disgraceful""; ""hastily, he scanned the headlines""; ""sold in haste and at a sacrifice"""
"hastily","in a hurried or hasty manner; ""the way they buried him so hurriedly was disgraceful""; ""hastily, he scanned the headlines""; ""sold in haste and at a sacrifice"""
"unhurriedly","without haste; ""she proceeded unhurriedly"""
"hotfoot","without delay; speedily; ""sent ambassadors hotfoot to the Turks""- Francis Hackett; ""drove hotfoot for Boston"""
"restlessly","in a restless manner; ""he cracked his knuckles restlessly"""
"financially","from a financial point of view; ""this was financially unattractive"""
"psychically","from a psychic point of view; ""he was psychically blind"""
"today","on this day as distinct from yesterday or tomorrow; ""I can''t meet with you today"""
"ornately","in an ornate manner; ""the cradle was ornately carved"""
"individually","apart from others; ""taken individually, the rooms were, in fact, square""; ""the fine points are treated singly"""
"separately","apart from others; ""taken individually, the rooms were, in fact, square""; ""the fine points are treated singly"""
"singly","apart from others; ""taken individually, the rooms were, in fact, square""; ""the fine points are treated singly"""
"severally","apart from others; ""taken individually, the rooms were, in fact, square""; ""the fine points are treated singly"""
"binaurally","in a binaural manner; ""the stimulus was presented binaurally"""
"monaurally","in a monaural manner; ""the stimuli were presented monaurally"""
"busily","in a busy manner; ""they were busily engaged in buying souvenirs"""
"prominently","in a prominent way; ""the new car was prominently displayed in the driveway"""
"conspicuously","in a prominent way; ""the new car was prominently displayed in the driveway"""
"inescapably","by necessity; ""the new council was inescapably of political meaning"""
"ineluctably","by necessity; ""the new council was inescapably of political meaning"""
"inevitably","by necessity; ""the new council was inescapably of political meaning"""
"unavoidably","by necessity; ""the new council was inescapably of political meaning"""
"helplessly","in a helpless manner; ""the crowd watched him helplessly"""
"impotently","in a helpless manner; ""the crowd watched him helplessly"""
"imaginatively","with imagination; ""the room was decorated very imaginatively"""
"bewilderingly","in a bewildering and confusing manner; ""her situation was bewilderingly unclear"""
"confusingly","in a bewildering and confusing manner; ""her situation was bewilderingly unclear"""
"heartily","with gusto and without reservation; ""the boy threw himself heartily into his work"""
"unashamedly","without shame; ""he unashamedly abandoned the project when he realized he would not gain from it"""
"shamelessly","without shame; ""he unashamedly abandoned the project when he realized he would not gain from it"""
"barefacedly","without shame; ""he unashamedly abandoned the project when he realized he would not gain from it"""
"monolingually","in a monolingual manner; ""she had been reared monolingually"""
"passionately","with passion; ""she kissed him passionately"""
"spectacularly","in a spectacular manner; ""the area was spectacularly scenic"""
"stunningly","in a spectacular manner; ""the area was spectacularly scenic"""
"soulfully","in a soulful manner; ""he looked at her soulfully"""
"satirically","in a satirical manner; ""she spoke satirically"""
"smoothly","with no problems or difficulties; ""put the plans into effect quickly and smoothly"""
"freely","in a free manner; ""the painting featured freely brushed strokes"""
"habitually","according to habit or custom; ""her habitually severe expression""; ""he habitually keeps his office door closed"""
"routinely","according to routine or established practice; ""he routinely parked in a no-parking zone"""
"habitually","according to routine or established practice; ""he routinely parked in a no-parking zone"""
"customarily","by custom; according to common practice; ""children are customarily expected to be seen but not heard"""
"humiliatingly","in a humiliating manner; ""the painting was reproduced humiliatingly small"""
"demeaningly","in a humiliating manner; ""the painting was reproduced humiliatingly small"""
"protectively","in a protective manner; ""he bent protectively over the woman"""
"spiritually","in a spiritual manner; ""the ninth century was the spiritually freest period"""
"sharply","in a well delineated manner; ""the new style of Minoan pottery was sharply defined"""
"crisply","in a well delineated manner; ""the new style of Minoan pottery was sharply defined"""
"dimly","in a dim indistinct manner; ""we perceived the change only dimly"""
"indistinctly","in a dim indistinct manner; ""we perceived the change only dimly"""
"unmistakably","without possibility of mistake; ""this watercolor is unmistakably a synthesis of nature"""
"determinedly","in a determined manner; ""he clung to the past determinedly"""
"unfalteringly","in a determined manner; ""he clung to the past determinedly"""
"unshakably","in a determined manner; ""he clung to the past determinedly"""
"incidentally","in an incidental manner; ""these magnificent achievements were only incidentally influenced by Oriental models"""
"accidentally","in an incidental manner; ""these magnificent achievements were only incidentally influenced by Oriental models"""
"ever","(intensifier for adjectives) very; ""she was ever so friendly"""
"confidently","in a confident manner; ""we have to do what is right confidently"""
"retroactively","after the fact; ""he will get paid retroactively"""
"sporadically","in a sporadic manner; ""he only works sporadically"""
"periodically","in a sporadic manner; ""he only works sporadically"""
"haltingly","in a halting manner; ""he spoke haltingly"""
"amazingly","in an amazing manner; to everyone''s surprise; ""amazingly, he finished medical school in three years"""
"surprisingly","in an amazing manner; to everyone''s surprise; ""amazingly, he finished medical school in three years"""
"astonishingly","in an amazing manner; to everyone''s surprise; ""amazingly, he finished medical school in three years"""
"impressively","in an impressive manner; ""the students progressed impressively fast"""
"imposingly","in an impressive manner; ""the students progressed impressively fast"""
"productively","in a productive way; ""they worked together productively for two years"""
"fruitfully","in a productive way; ""they worked together productively for two years"""
"profitably","in a productive way; ""they worked together productively for two years"""
"fruitlessly","in an unproductive manner"
"unprofitably","in an unproductive manner"
"expertly","in an expert manner; ""he repaired the TV set expertly"""
"amateurishly","in an amateurish manner; ""he performed the piece amateurishly"""
"abundantly","in an abundant manner; ""they were abundantly supplied with food""; ""he thanked her profusely"""
"copiously","in an abundant manner; ""they were abundantly supplied with food""; ""he thanked her profusely"""
"profusely","in an abundant manner; ""they were abundantly supplied with food""; ""he thanked her profusely"""
"extravagantly","in an abundant manner; ""they were abundantly supplied with food""; ""he thanked her profusely"""
"interestingly","in an interesting manner; ""when he ceases to be just interestingly neurotic and...gets locked up""- Time"
"boringly","in a tedious manner; ""boringly slow work""; ""he plodded tediously forward"""
"tediously","in a tedious manner; ""boringly slow work""; ""he plodded tediously forward"""
"tiresomely","in a tedious manner; ""boringly slow work""; ""he plodded tediously forward"""
"moderately","in a moderate manner; ""he drinks moderately"""
"immoderately","in an immoderate manner; ""he eats immoderately"""
"realistically","in a realistic manner; ""let''s look at the situation realistically"""
"sanely","with good sense or in a reasonable or intelligent manner; ""he acted sensibly in the crisis""; ""speak more sanely about these affairs""; ""acted quite reasonably"""
"sensibly","with good sense or in a reasonable or intelligent manner; ""he acted sensibly in the crisis""; ""speak more sanely about these affairs""; ""acted quite reasonably"""
"reasonably","with good sense or in a reasonable or intelligent manner; ""he acted sensibly in the crisis""; ""speak more sanely about these affairs""; ""acted quite reasonably"""
"unreasonably","not in a reasonable or intelligent manner; ""she reacted unreasonably when she learned she had failed"""
"stepwise","proceeding in steps; ""the voltage was increased stepwise"""
"stolidly","in a stolid manner; ""he said `no'' stolidly"""
"supremely","to the maximum degree; ""he was supremely confident"""
"testily","in a petulant manner; ""he said testily; `Go away!''"""
"irritably","in a petulant manner; ""he said testily; `Go away!''"""
"petulantly","in a petulant manner; ""he said testily; `Go away!''"""
"pettishly","in a petulant manner; ""he said testily; `Go away!''"""
"thoughtfully","showing thoughtfulness; ""he had thoughtfully brought with him some food"""
"thoughtlessly","showing thoughtlessness; ""he treated his parents thoughtlessly"""
"thoughtfully","in a thoughtful manner; ""he stared thoughtfully out the window"""
"thoughtlessly","in a thoughtless manner; ""he stared thoughtlessly at the picture"""
"unthinkingly","in a thoughtless manner; ""he stared thoughtlessly at the picture"""
"unthinking","in a thoughtless manner; ""he stared thoughtlessly at the picture"""
"auspiciously","in an auspicious manner; ""he started his new job auspiciously on his birthday"""
"propitiously","in an auspicious manner; ""he started his new job auspiciously on his birthday"""
"relentlessly","in a relentless manner; ""he worked relentlessly"""
"unrelentingly","in a relentless manner; ""he worked relentlessly"""
"ruefully","in a rueful manner; ""`I made a big mistake,'' he said ruefully"""
"contritely","in a rueful manner; ""`I made a big mistake,'' he said ruefully"""
"remorsefully","in a rueful manner; ""`I made a big mistake,'' he said ruefully"""
"inexorably","in an inexorable manner; ""time marches on inexorably"""
"politely","in a polite manner; ""the policeman answered politely, `Now look here, lady...''"""
"courteously","in a polite manner; ""the policeman answered politely, `Now look here, lady...''"""
"impolitely","in an impolite manner; ""he treated her impolitely"""
"rudely","in an impolite manner; ""he treated her impolitely"""
"admirably","in an admirable manner; ""the children''s responses were admirably normal"""
"laudably","in an admirable manner; ""the children''s responses were admirably normal"""
"commendable","in an admirable manner; ""the children''s responses were admirably normal"""
"pleasantly","in an enjoyable manner; ""we spent a pleasantly lazy afternoon"""
"agreeably","in an enjoyable manner; ""we spent a pleasantly lazy afternoon"""
"enjoyably","in an enjoyable manner; ""we spent a pleasantly lazy afternoon"""
"pleasantly","in a cheerful manner; ""`I''ll do the dishes,'' he said pleasantly"""
"cheerily","in a cheerful manner; ""`I''ll do the dishes,'' he said pleasantly"""
"sunnily","in a cheerful manner; ""`I''ll do the dishes,'' he said pleasantly"""
"unpleasantly","in an unpleasant manner; ""he had been unpleasantly surprised"""
"breathlessly","in a breathless manner; ""she spoke gaspingly"""
"gaspingly","in a breathless manner; ""she spoke gaspingly"""
"heartily","in a hearty manner; ""`Yes,'' the children chorused heartily""; ""We welcomed her warmly"""
"cordially","in a hearty manner; ""`Yes,'' the children chorused heartily""; ""We welcomed her warmly"""
"warmly","in a hearty manner; ""`Yes,'' the children chorused heartily""; ""We welcomed her warmly"""
"affably","in an affable manner; ""`Come and visit me,'' he said amiably"""
"amiably","in an affable manner; ""`Come and visit me,'' he said amiably"""
"genially","in an affable manner; ""`Come and visit me,'' he said amiably"""
"laughingly","with laughter; while laughing; ""he told the story laughingly"""
"ambiguously","in an ambiguous manner; ""this letter is worded ambiguously"""
"equivocally","in an ambiguous manner; ""this letter is worded ambiguously"""
"unambiguously","in an unambiguous manner; ""she stated her intentions unequivocally"""
"unequivocally","in an unambiguous manner; ""she stated her intentions unequivocally"""
"ceremonially","in a ceremonial manner; ""he was ceremonially sworn in as President"""
"ritually","in a ceremonial manner; ""he was ceremonially sworn in as President"""
"ceremoniously","in a ceremonious manner; ""my mother advised her children ceremoniouslly"""
"ceremonially","in a ceremonious manner; ""my mother advised her children ceremoniouslly"""
"rakishly","in a rakish manner; ""she wore her hat rakishly at an angle"""
"raffishly","in a rakish manner; ""she wore her hat rakishly at an angle"""
"carelessly","in a rakish manner; ""she wore her hat rakishly at an angle"""
"rollickingly","in a carefree manner; ""she was rollickingly happy"""
"boisterously","in a carefree manner; ""she was rollickingly happy"""
"narrowly","in a narrow manner; not allowing for exceptions; ""he interprets the law narrowly"""
"broadly","without regard to specific details or exceptions; ""he interprets the law broadly"""
"loosely","without regard to specific details or exceptions; ""he interprets the law broadly"""
"generally","without regard to specific details or exceptions; ""he interprets the law broadly"""
"broadly","in a wide fashion; ""he smiled broadly"""
"twirlingly","doing twirls; ""they had a most twirlingly magnificent time"""
"behind","in or to or toward the rear; ""he followed behind""; ""seen from behind, the house is more imposing than it is from the front""; ""the final runners were far behind"""
"behind","remaining in a place or condition that has been left or departed from; ""when he died he left much unfinished work behind""; ""left a large family behind""; ""the children left their books behind""; ""he took off with a squeal of tires and left the other cars fa"
"behind","in debt; ""he fell behind with his mortgage payments""; ""a month behind in the rent""; ""a company that has been run behindhand for years""; ""in arrears with their utility bills"""
"behindhand","in debt; ""he fell behind with his mortgage payments""; ""a month behind in the rent""; ""a company that has been run behindhand for years""; ""in arrears with their utility bills"""
"behind","in or into an inferior position; ""fell behind in his studies""; ""their business was lagging behind in the competition for customers"""
"behind","of timepieces; ""the clock is almost an hour slow""; ""my watch is running behind"""
"slow","of timepieces; ""the clock is almost an hour slow""; ""my watch is running behind"""
"rightfully","by right; ""baseball rightfully is the nation''s pastime"""
"truly","by right; ""baseball rightfully is the nation''s pastime"""
"faithfully","in a faithful manner; ""it always came on, faithfully, like the radio"""
"dependably","in a faithful manner; ""it always came on, faithfully, like the radio"""
"reliably","in a faithful manner; ""it always came on, faithfully, like the radio"""
"unfaithfully","in an unfaithful undependable unreliable manner"
"undependably","in an unfaithful undependable unreliable manner"
"unreliably","in an unfaithful undependable unreliable manner"
"violently","in a violent manner; ""they attacked violently"""
"nonviolently","without violence; ""the government was overthrown nonviolently, but the dictator was killed"""
"furiously","(of the elements) in a wild and stormy manner; ""winds were blowing furiously"""
"furiously","in an impassioned or very angry manner; ""she screamed furiously at her tormentors"""
"furiously","in a manner marked by extreme or violent energy; ""the boys fought furiously""; ""she went peddling furiously up the narrow street"""
"securely","in a secure manner; in a manner free from danger; ""she held the child securely"""
"firmly","in a secure manner; in a manner free from danger; ""she held the child securely"""
"wryly","in a wry manner; ""`I see,'' he commented wryly"""
"infinitely","continuing forever without end; ""there are infinitely many possibilities"""
"endlessly","continuing forever without end; ""there are infinitely many possibilities"""
